1	0	0	al-fātiḥa 	الفَاتِحَة	الڡاٮحه
1	1	1	bi-smi 	بِسۡمِ	ٮسم
1	1	2	llāhi 	ٱللَّهِ	الل‍ه
1	1	3	r-raḥmāni 	ٱلرَّحۡمَٰنِ	الرحمں
1	1	4	r-raḥīmi 	ٱلرَّحِيمِ	الرحىم
1	2	1	l-ḥamdu 	ٱلۡحَمۡدُ	الحمد
1	2	2	li-llāhi 	لِلَّهِ	لل‍ه
1	2	3	rabbi 	رَبِّ	رٮ
1	2	4	l-ʿālamīna 	ٱلۡعَٰلَمِينَ	العلمىں
1	3	1	r-raḥmāni 	ٱلرَّحۡمَٰنِ	الرحمں
1	3	2	r-raḥīmi 	ٱلرَّحِيمِ	الرحىم
1	4	1	māliki 	مَٰلِكِ	ملک
1	4	2	yaumi 	يَوۡمِ	ىوم
1	4	3	d-dīni 	ٱلدِّينِ	الدىں
1	5	1	ʾiyyāka 	إِيَّاكَ	اىاک
1	5	2	naʿbudu 	نَعۡبُدُ	ںعٮد
1	5	3	wa-ʾiyyāka 	وَإِيَّاكَ	واىاک
1	5	4	nastaʿīnu 	نَسۡتَعِينُ	ںسٮعىں
1	6	1	hdina 	ٱهۡدِنَا	اهدںا
1	6	2	ṣ-ṣirāṭa 	ٱلصِّرَٰطَ	الصرط
1	6	3	l-mustaqīma 	ٱلۡمُسۡتَقِيمَ	المسٮٯىم
1	7	1	ṣirāṭa 	صِرَٰطَ	صرط
1	7	2	llaḏīna 	ٱلَّذِينَ	الدىں
1	7	3	ʾanʿamta 	أَنۡعَمۡتَ	اںعمٮ
1	7	4	ʿalaihim 	عَلَيۡهِمۡ	علىهم
1	7	5	ġairi 	غَيۡرِ	عىر
1	7	6	l-maġḍūbi 	ٱلۡمَغۡضُوبِ	المعصوٮ
1	7	7	ʿalaihim 	عَلَيۡهِمۡ	علىهم
1	7	8	wa-la	وَلَا	ولا
1	7	9	ḍ-ḍāllīna	ٱلضَّآلِّينَ	الصالىں
2	0	0	al-baqara	البَقَرَة	الٮٯره
2	0	1	bi-smi 	بِسۡمِ	ٮسم
2	0	2	llāhi 	ٱللَّهِ	الل‍ه
2	0	3	r-raḥmāni 	ٱلرَّحۡمَٰنِ	الرحمں
2	0	4	r-raḥīmi 	ٱلرَّحِيمِ	الرحىم
2	1	1	ʾalif-lām-mīm	الٓمٓ	الم
2	2	1	ḏālika	ذَٰلِكَ	دلک
2	2	2	l-kitābu	ٱلۡكِتَٰبُ	الکٮٮ
2	2	3	lā	لَا	لا
2	2	4	raiba	رَيۡبَۛ	رىٮ
2	2	5	fīhi	فِيهِۛ	ڡىه
2	2	6	hudan	هُدًۭى	هدى
2	2	7	li-l-muttaqīna	لِّلۡمُتَّقِينَ	للمٮٯىں
2	3	1	llaḏīna	ٱلَّذِينَ	الدىں
2	3	2	yuʾminūna	يُؤۡمِنُونَ	ىومںوں
2	3	3	bi-l-ġaibi	بِٱلۡغَيۡبِ	ٮالعىٮ
2	3	4	wa-yuqīmūna	وَيُقِيمُونَ	وىٯىموں
2	3	5	ṣ-ṣalāta	ٱلصَّلَوٰةَ	الصلوه
2	3	6	wa-mimmā	وَمِمَّا	ومما
2	3	7	razaqnāhum	رَزَقۡنَٰهُمۡ	ررٯںهم
2	3	8	yunfiqūna	يُنفِقُونَ	ىںڡٯوں
2	4	1	wa-llaḏīna	وَٱلَّذِينَ	والدىں
2	4	2	yuʾminūna	يُؤۡمِنُونَ	ىومںوں
2	4	3	bi-mā	بِمَآ	ٮما
2	4	4	ʾunzila	أُنزِلَ	اںرل
2	4	5	ʾilaika	إِلَيۡكَ	الىک
2	4	6	wa-mā	وَمَآ	وما
2	4	7	ʾunzila	أُنزِلَ	اںرل
2	4	8	min	مِن	مں
2	4	9	qablika	قَبۡلِكَ	ٯٮلک
2	4	10	wa-bi-l-ʾāḫirati	وَبِٱلۡٴَاخِرَةِ	وٮالاحره
2	4	11	hum	هُمۡ	هم
2	4	12	yūqinūna	يُوقِنُونَ	ىوٯںوں
2	5	1	ʾulāʾika	أُو۟لَٰٓئِكَ	اولٮک
2	5	2	ʿalā	عَلَىٰ	على
2	5	3	hudan	هُدًۭى	هدى
2	5	4	min	مِّن	مں
2	5	5	rabbihim	رَّبِّهِمۡۖ	رٮهم
2	5	6	wa-ʾulāʾika	وَأُو۟لَٰٓئِكَ	واولٮک
2	5	7	humu	هُمُ	هم
2	5	8	l-mufliḥūna	ٱلۡمُفۡلِحُونَ	المڡلحوں
2	6	1	ʾinna	إِنَّ	اں
2	6	2	llaḏīna	ٱلَّذِينَ	الدىں
2	6	3	kafarū	كَفَرُوا۟	کڡروا
2	6	4	sawāʾun	سَوَآءٌ	سوا
2	6	5	ʿalaihim	عَلَيۡهِمۡ	علىهم
2	6	6	ʾa-ʾanḏartahum	ءَأَنذَرۡتَهُمۡ	اںدرٮهم
2	6	7	ʾam	أَمۡ	ام
2	6	8	lam	لَمۡ	لم
2	6	9	tunḏirhum	تُنذِرۡهُمۡ	ٮںدرهم
2	6	10	lā	لَا	لا
2	6	11	yuʾminūna	يُؤۡمِنُونَ	ىومںوں
2	7	1	ḫatama	خَتَمَ	حٮم
2	7	2	llāhu	ٱللَّهُ	الل‍ه
2	7	3	ʿalā	عَلَىٰ	على
2	7	4	qulūbihim	قُلُوبِهِمۡ	ٯلوٮهم
2	7	5	wa-ʿalā	وَعَلَىٰ	وعلى
2	7	6	samʿihim	سَمۡعِهِمۡۖ	سمعهم
2	7	7	wa-ʿalā	وَعَلَىٰۤ	وعلى
2	7	8	ʾabṣārihim	أَبۡصَٰرِهِمۡ	اٮصرهم
2	7	9	ġišāwatun	غِشَٰوَةٌۭۖ	عسوه
2	7	10	wa-lahum	وَلَهُمۡ	ولهم
2	7	11	ʿaḏābun	عَذَابٌ	عداٮ
2	7	12	ʿaẓīmun	عَظِيمٌۭ	عطىم
2	8	1	wa-mina	وَمِنَ	ومں
2	8	2	n-nāsi	ٱلنَّاسِ	الںاس
2	8	3	man	مَن	مں
2	8	4	yaqūlu	يَقُولُ	ىٯول
2	8	5	ʾāmannā	ءَامَنَّا	امںا
2	8	6	bi-llāhi	بِٱللَّهِ	ٮالل‍ه
2	8	7	wa-bi-l-yaumi	وَبِٱلۡيَوۡمِ	وٮالىوم
2	8	8	l-ʾāḫiri	ٱلۡٴَاخِرِ	الاحر
2	8	9	wa-mā	وَمَا	وما
2	8	10	hum	هُم	هم
2	8	11	bi-muʾminīna	بِمُؤۡمِنِينَ	ٮمومںىں
2	9	1	yuḫādiʿūna	يُخَٰدِعُونَ	ىحدعوں
2	9	2	llāha	ٱللَّهَ	الل‍ه
2	9	3	wa-llaḏīna	وَٱلَّذِينَ	والدىں
2	9	4	ʾāmanū	ءَامَنُوا۟	امںوا
2	9	5	wa-mā	وَمَا	وما
2	9	6	yaḫdaʿūna	يَخۡدَعُونَ	ىحدعوں
2	9	7	ʾillā	إِلَّآ	الا
2	9	8	ʾanfusahum	أَنفُسَهُمۡ	اںڡسهم
2	9	9	wa-mā	وَمَا	وما
2	9	10	yašʿurūna	يَشۡعُرُونَ	ىسعروں
2	10	1	fī	فِی	ڡى
2	10	2	qulūbihim	قُلُوبِهِم	ٯلوٮهم
2	10	3	maraḍun	مَّرَضٌۭ	مرص
2	10	4	fa-zādahumu	فَزَادَهُمُ	ڡرادهم
2	10	5	llāhu	ٱللَّهُ	الل‍ه
2	10	6	maraḍan	مَرَضًۭاۖ	مرصا
2	10	7	wa-lahum	وَلَهُمۡ	ولهم
2	10	8	ʿaḏābun	عَذَابٌ	عداٮ
2	10	9	ʾalīmun	أَلِيمٌۢ	الىم
2	10	10	bi-mā	بِمَا	ٮما
2	10	11	kānū	كَانُوا۟	کاںوا
2	10	12	yakḏibūna	يَكۡذِبُونَ	ىکدٮوں
2	11	1	wa-ʾiḏā	وَإِذَا	وادا
2	11	2	qīla	قِيلَ	ٯىل
2	11	3	lahum	لَهُمۡ	لهم
2	11	4	lā	لَا	لا
2	11	5	tufsidū	تُفۡسِدُوا۟	ٮڡسدوا
2	11	6	fi	فِی	ڡى
2	11	7	l-ʾarḍi	ٱلۡأَرۡضِ	الارص
2	11	8	qālū	قَالُوٓا۟	ٯالوا
2	11	9	ʾinnamā	إِنَّمَا	اںما
2	11	10	naḥnu	نَحۡنُ	ںحں
2	11	11	muṣliḥūna	مُصۡلِحُونَ	مصلحوں
2	12	1	ʾa-lā	أَلَآ	الا
2	12	2	ʾinnahum	إِنَّهُمۡ	اںهم
2	12	3	humu	هُمُ	هم
2	12	4	l-mufsidūna	ٱلۡمُفۡسِدُونَ	المڡسدوں
2	12	5	wa-lākin	وَلَٰكِن	ولکں
2	12	6	lā	لَّا	لا
2	12	7	yašʿurūna	يَشۡعُرُونَ	ىسعروں
2	13	1	wa-ʾiḏā	وَإِذَا	وادا
2	13	2	qīla	قِيلَ	ٯىل
2	13	3	lahum	لَهُمۡ	لهم
2	13	4	ʾāminū	ءَامِنُوا۟	امںوا
2	13	5	ka-mā	كَمَآ	کما
2	13	6	ʾāmana	ءَامَنَ	امں
2	13	7	n-nāsu	ٱلنَّاسُ	الںاس
2	13	8	qālū	قَالُوٓا۟	ٯالوا
2	13	9	ʾa-nuʾminu	أَنُؤۡمِنُ	اںومں
2	13	10	ka-mā	كَمَآ	کما
2	13	11	ʾāmana	ءَامَنَ	امں
2	13	12	s-sufahāʾu	ٱلسُّفَهَآءُۗ	السڡها
2	13	13	ʾa-lā	أَلَآ	الا
2	13	14	ʾinnahum	إِنَّهُمۡ	اںهم
2	13	15	humu	هُمُ	هم
2	13	16	s-sufahāʾu	ٱلسُّفَهَآءُ	السڡها
2	13	17	wa-lākin	وَلَٰكِن	ولکں
2	13	18	lā	لَّا	لا
2	13	19	yaʿlamūna	يَعۡلَمُونَ	ىعلموں
2	14	1	wa-ʾiḏā	وَإِذَا	وادا
2	14	2	laqu	لَقُوا۟	لٯوا
2	14	3	llaḏīna	ٱلَّذِينَ	الدىں
2	14	4	ʾāmanū	ءَامَنُوا۟	امںوا
2	14	5	qālū	قَالُوٓا۟	ٯالوا
2	14	6	ʾāmannā	ءَامَنَّا	امںا
2	14	7	wa-ʾiḏā	وَإِذَا	وادا
2	14	8	ḫalau	خَلَوۡا۟	حلوا
2	14	9	ʾilā	إِلَىٰ	الى
2	14	10	šayāṭīnihim	شَيَٰطِينِهِمۡ	سىطىںهم
2	14	11	qālū	قَالُوٓا۟	ٯالوا
2	14	12	ʾinnā	إِنَّا	اںا
2	14	13	maʿakum	مَعَكُمۡ	معکم
2	14	14	ʾinnamā	إِنَّمَا	اںما
2	14	15	naḥnu	نَحۡنُ	ںحں
2	14	16	mustahziʾūna	مُسۡتَهۡزِءُونَ	مسٮهروں
2	15	1	llāhu	ٱللَّهُ	الل‍ه
2	15	2	yastahziʾu	يَسۡتَهۡزِئُ	ىسٮهرٮ
2	15	3	bihim	بِهِمۡ	ٮهم
2	15	4	wa-yamudduhum	وَيَمُدُّهُمۡ	وىمدهم
2	15	5	fī	فِی	ڡى
2	15	6	ṭuġyānihim	طُغۡيَٰنِهِمۡ	طعىںهم
2	15	7	yaʿmahūna	يَعۡمَهُونَ	ىعمهوں
2	16	1	ʾulāʾika	أُو۟لَٰٓئِكَ	اولٮک
2	16	2	llaḏīna	ٱلَّذِينَ	الدىں
2	16	3	štarawu	ٱشۡتَرَوُا۟	اسٮروا
